model_name,run_id,status,feature_path,n_features_before_encoding,n_features_after_encoding,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,best_iteration_mean,training_time_seconds,random_seed,model_path,history_path,timestamp
logistic_regression,logistic_regression_v1,done,linear_mlp,66,185,0.7475366003534569,0.0020376659476873,0.2248329523188155,0.0060434818209721,,28.16507053375244,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\logistic_regression\logistic_regression_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\logistic_regression\logistic_regression_history.json,2026-08-30T09:13:12.170667+00:00
decision_tree,decision_tree_v1,done,tree,66,185,0.538795194916682,0.0051522087557829,0.0912153333311769,0.0019783005296544,,45.48679518699646,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\decision_tree\decision_tree_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\decision_tree\decision_tree_history.json,2026-08-30T09:14:11.058026+00:00
random_forest,random_forest_v1,done,tree,66,185,0.7441259448429542,0.0020516286214299,0.218657972195382,0.0037853821876396,,103.35806465148926,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\random_forest\random_forest_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\random_forest\random_forest_history.json,2026-08-30T09:16:27.439110+00:00
lightgbm,lightgbm_v1,done,tree,66,185,0.7571473774196458,0.0010248318499777192,0.24113273727555457,0.005206870831671073,208.6,20.249966621398926,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm\lightgbm_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\lightgbm\lightgbm_history.json,2026-08-30T09:16:51.451829+00:00
xgboost,xgboost_v1,done,tree,66,185,0.7545124975785032,0.0010467386886126287,0.23879858096192935,0.0028887741852391628,198.6,39.78342843055725,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost\xgboost_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\xgboost\xgboost_history.json,2026-08-30T09:17:37.022976+00:00
catboost,catboost_v1,done,tree,66,66,0.7593751987636039,0.0015931188425605388,0.24356577854664102,0.005855890863209902,580.2,461.53036546707153,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost\catboost_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost\catboost_history.json,2026-08-30T09:26:42.033596+00:00
mlp,mlp_v1,done,linear_mlp,66,185,0.7468608716060944,0.0005735694038642847,0.22313582651185726,0.003166746230232291,14.2,63.43175029754639,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\mlp\mlp_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\mlp\mlp_history.json,2026-08-30T09:28:02.487641+00:00
catboost_v2,catboost_v2_v1,done,tree,574,574,0.7795009091730694,0.0020621657947044636,0.26897605344652803,0.006789156584551255,738.6,891.6641261577606,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2\catboost_v2_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2\catboost_v2_history.json,2026-09-01T08:06:21.454286+00:00
catboost_v2,catboost_v2_v1,done,tree,574,574,0.7795009091730694,0.0020621657947044636,0.26897605344652803,0.006789156584551255,738.6,962.5717294216156,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2\catboost_v2_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2\catboost_v2_history.json,2026-09-01T09:42:01.393147+00:00
catboost_v2,catboost_v2_v1,done,tree,574,574,0.7795009091730694,0.0020621657947044636,0.26897605344652803,0.006789156584551255,738.6,881.7429132461548,42,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2\catboost_v2_pipeline.joblib,D:\Kerjaan\Home Creadit\Project-1-Home-Credit-Default-Risk-main\models\catboost_v2\catboost_v2_history.json,2026-09-01T10:03:47.786982+00:00
